Name,Genre,Schauspieler,Sonstiges
Der Herr der Ringe: Die Gefährten,Action;Abenteuer;Drama,,
Der Herr der Ringe: Die zwei Türme,Action;Abenteuer;Drama,,
Der Herr der Ringe: Die Rückkehr des Königs,Action;Abenteuer;Drama,,
Breaking Bad,Krimi;Drama;Thriller,,
Was man von hier aus sehen kann,,,
Spartacus,,,
Im Westen nichts Neues,,,
Siegfried,,Tom Gerhardt,
True Lies,,Schwarzenegger,
Kevin-allein zu Haus,,,
Men In Black 3,,Will Smith,
Baymax,,,Disney
Rio,,,
Scooby-Doo,,,
Das Glücksprinzip,,Kevin Spacey,
Der Schuh des Manitu,,Michael Bully Herbig,
Der Name der Rose,,Sean Connery,
The day after tomorrow,,,
Nr.5 gibt nicht auf,,,
Gullivers Reisen,,Jack Black,
Men in Black 2,,Will Smith,
Fast funny furious,,Jackie Chan,
missing,,,
Avatar,,,
Pirates of the Caribbean,,,
Unthinkable,,,
The Scorpion King,,,
Der Hobbit,,,
300,,,
Safe House,,,
Inspector Barnaby,,,
Die Monster AG,,,
Die Tribute von Panem,,,
Wild Wild West,,Will Smith,
Kung Fu Panda,,,
Sherlock Holmes - Spiel im Schatten,,Robert Downey Jr.; Jude Law,
Hangover,,,
Der Pferde Flüsterer,,Robert Redford,
MIB,,Will Smith,
Das Vermächtnis der Tempelritter,,,
Matrix,,Keanu Reeves,
Der Anschlag,,Morgan Freeman; Ben Affleck,
Ich Einfach Unverbesserlich,,,
Kindsköpfe,,,
Die Liga der aussergewöhnlichen Gentlemen,,,
Terminator,,,
Asterix und Obelix - Im Auftrag ihrer Majestät,,,
Jumper,,,
Der Untergang,,,
Lara Croft Tomb Raider,,,
Jurassic Park - Triology,,,
Ducktales,,,
Nonnen auf der Flucht,,,
Traumschiff Surprise Periode 1,,Michael Bully Herbig,
Asterix bei den olympischen Spielen,,,
Clever & Smart,,,
Spion wider Willen,,Jackie Chan,
Medaillon,,Jackie Chan,
Der Staatsfeind Nr.1,,Will Smith,
Armour of God,,Jackie Chan,
Die Mumie,,,
A.I. ,,Jude Law,
Rapunzel - Neu verföhnt,,,
Robin Hood,,Kevin Kostner,
Unsere Erde,,,
Tarzan 2,,,
Tarzan &Janes,,,
How I Met Your Mother,,,
Der Wixxer,,,
Das Leben des Brian,,,
Mammutland,,,
Shang-High Noon,,Jackie Chan; Owen Wilson,
Tokyo Powerman,,Jackie Chan; Owen Wilson,
Asterix&Obelix Mission Kleopatra,,,
Grand Budapest Hotel,,,
Under Control,,Jackie Chan,
Game of Thrones,,,
Der Club der toten Dichter,,Robin Williams,
Die Welle,,Jürgen Vogel,
Die Abenteuer von Huck Finn,,,
The King of Queens,,,
Gandhi,,,
Ica Age,,,
Hot Shots,,,
Der mit dem Wolf tanzt,,Kevin Costner,
Jagdfieber,,,
Spy Daddy,,Jackie Chan,
Apocalypse Now,,,
Mr. Bean,,,
Die Chroniken von Narnia,,,
Forest Gump,,,
Das Krokodil und sein Nilpferd,,Bud Spencer;Terence Hill,
Die Miami Cops,,Bud Spencer;Terence Hill,
Die Rechte und die linke Hand des Teufels,,Bud Spencer;Terence Hill,
Vier Fäuste für ein Halleluja,,Bud Spencer;Terence Hill,
Zwei Asse trumpfen auf,,Bud Spencer;Terence Hill,
Zwei außer Rand und Band,,Bud Spencer;Terence Hill,
Zwei bärenstarke Typen,,Bud Spencer;Terence Hill,
Zwei Himmelhunde auf dem Weg zur Hölle,,Bud Spencer;Terence Hill,
Zwei sind nicht zu bremsen,,Bud Spencer;Terence Hill,
Crank,,,
Mr.Bean,,,
Lilo&Stitch,,,
Independence Day,,,
Fight Club,,,
Toy Story,,,
Mr.Bean macht Ferien,,,
Police Story,,Jackie Chan,
Mission Impossible,,Tom Cruise,
Johnny English,,,
First Strike,,Jackie Chan,
Jackie Chan ist Nobody,,Jackie Chan,
Beverly Hills Cop,,,
Shrek 2,,,
Der Superfighter,,Jackie Chan,
The Tuxedo - Gefahr im Anzug,,Jackie Chan,
Garfield Der Film,,,
Rush Hour,,Jackie Chan; Chris Tucker,
Wolkig mit Aussicht auf Fleischbällchen,,,
Shanghai Knights,,Jackie Chan,
Die Verurteilten,,,
Herr der Ringe,,,
Asterix in Amerika,,,
Asterix und Kleopatra,,,
Operation Hinkelstein,,,
Asterix bei den Briten,,,
Asterix - Sieg über Cäsar,,,
Asterix erobert Rom,,,
Asterix der Gallier,,,
Banana Joe,,Bud Spencer,
Der Bomber,,Bud Spencer,
Bud der Ganovenschreck,,Bud Spencer,
Charleston - Zwei Fäuste räumen auf,,Bud Spencer,
Auch die Engel essen Bohnen,,Bud Spencer,
Der Dicke in Mexiko,,Bud Spencer,
Der Dicke ist nicht zu bremsen,,Bud Spencer,
Der Dicke und das Warzenschwein,,Bud Spencer,
Der Große mit seinem außerirdischen Kleinen,,Bud Spencer,
Wenn man vom Teufel spricht,,Bud Spencer,
Bruce Allmächtig,,,
Nummer 5 lebt,,,
Die Ermordung des Jesse James,,,
Good Morning Vietnam,,Robin Williams,
Beethoven - Doppelt hält besser,,,
Der letzte Mohikaner,,,
Im Dutzend billiger,,,
Chicken Run - Hennen Rennen,,,
Die Drei Musketiere (Micky;Donald;Goofy),,,
Der Name der Rose,,Sean Connery,
Der Glöckner von Notre Dame,,,
Dejavu,,,
96 Hours,,Liam Neeson,
Asterix und die Vikinger,,,
Die unendliche Geschichte,,,
Shaolin Kickers,,,
Joseph König der Träume,,,
Luther,,,
Ocean's Twelve,,,
O Brother Where Art Thou?,,George Clooney,
Der Kaufhaus Cop,,Kevin James,
Mr und Mrs. Smith,,,
Rob-B-Hood,,Jackie Chan,
Werner Beinhart,,,
Titanic,,,
Bourne Triology,,,
2012,,,
Antz,,,
Minority Report,,Tom Cruise,
Der große Gatsby,,Leonardi Di Caprio,
Crocodile Dundee,,,
Free Willy - Ruf der Freiheit,,,
Stichtag,,,
XMen,,,
RED 2,,,
Minions,,,
Inception,,,
7 Zwerge - Der Wald ist nicht genug,,,
Der Weg nach El Dorado,,,
Der kleine Eisbär (Lars),,,
Tomb Raider,,,
Garfield Fett im Leben,,,
Invictus,,,
Tintenherz,,,
Narnia,,,
Der gestiefelte Kater,,,
Das Boot,,,
Alvin und die Chipmunks,,,
Atlantis - Das Geheimnis der verlorenen Stadt,,,
Sinbad - Der Herr der sieben Meere,,,
Das große Krabbeln,,,
Die wilden Kerle,,,
Madagascar 2,,,
Friends,,,
American Sniper,,,
Sniper,,,
Zoomania,,,
Patch Adams,,Robin Williams,
Lucky Luke Daisy Town,,,
Das weisse Band,,,
Tierisch Wild,,,
Neues vom Wixxer,,,
Sister Act,,,
Cloverfield,,,
RoadTrip,,,
Mr Nice Guy,,Jackie Chan,
Ted,,,
Sherlock,,,
House of Cards,,,
Star Wars,,,
Die Unglaublichen,,,
E.T. Der Ausserirdische,,,
Who Am I,,,
catch me if u can,,,
Avatar,,,
Hobbit,,,
Stripes,,,
102 Dalmatiner,,,
Ottos Eleven,,,
Mrs Doubtfire - Das stachelige Hausmädchen,,,
Die EIskönigin - Völlig unverfroren,,,
Drachenzähmen leicht gemacht,,,
Indiana Jones,,,
Per Anhalter durch die Galaxis,,,
Shrek,,,
Iron Man,,,
The Green Mile,,,
Hitch Der Date Doktor,,Will Smith,
Das Wunder von Bern,,,
Die Besucher - Die sind nicht von gestern,,,
Das fliegende Klassenzimmer,,,
Kung Fu Master,,Jackie Chan,
I robot,,Will Smith,
Scary Movie,,,
Flubber,,Robin Williams,
Iron Man,,,
The Book of Eli,,,
Oliver & Co.,,,
Lucky Slevin,,,
Beethoven - Urlaub mit Hindernissen,,,
Atlantis - Die Rückkehr,,,
Evan Allmächtig,,,
Agent 00,,Leslie Nielsen,
Dr. Dolittle,,Eddie Murphy,
slumdog millionär,,,
Sister Act,,,
Könige der Wellen,,,
Crocodile Dundee,,Paul Hogan,
Die nackte Kanone,,Leslie Nielsen,
Napoleon,,Joaquin Phoenix,
Zurück in die Zukunft,,,
Die unglaubliche Reise in einem verrückten Flugzeug,,Leslie Nielsen,
Superbad,,,
Hangover,,,
Grand Budapest Hotel,,,
Zombieland,,,
Der kleine Tod. Eine Komödie über Sex.,,,
Tschik,,,
Lucky Number Slevin,Komödie,,
Brügge sehen und sterben,Komödie,,
The Wolf of Wallstreet,Komödie,,
Schindlers Liste,,,
Pulp Fiction,,,
Der Pate,,,
Der Prinz aus Zamunda,,,
Lethal Waepon,,,
Beverly Hills Cop,,,
Mr Magoo,,,
The Big Lebowski,,,
Shaun of the Dead,,,
Mr. Nice Guys,,,